weight,source,target
1,5610,5410
2,5810,5000
2,5860,2040
5,5400,4230
5,5000,430
2,5860,3500
2,5510,5240
1,5840,3650
8,5620,6260
1,5700,3410
1,5240,950
7,5620,4050
5,4050,5620
3,5620,3600
1,5000,730
1,5810,1110
6,4250,4030
2,4250,1960
1,1960,1650
7,5400,3600
6,5240,3600
9,5400,5000
2,5000,4710
1,5260,1820
1,5110,5260
1,5260,5630
1,5020,1110
1,5000,3650
3,5120,3650
1,5810,4840
1,100,1740
1,5310,5930
2,5620,2600
12,5700,5000
1,5620,6520
1,5700,2020
12,5860,5700
1,5700,3540
1,3540,120
1,120,3540
2,3540,4620
1,5700,50
1,50,130
4,5700,2720
3,2720,2340
4,5400,4040
2,4040,5120
2,5860,3640
1,5120,4840
12,5620,4220
1,5230,5000
2,5620,4010
1,5000,7020
3,5610,4220
3,4220,5610
1,5510,5550
7,5700,5260
7,5260,5700
1,5120,2140
1,5620,6300
1,5700,5220
2,5700,4430
1,4430,2330
1,5630,3950
1,5600,4010
1,5120,130
1,5820,5110
2,5860,1010
2,1010,2720
1,2720,1010
2,5850,4220
5,4220,4230
2,5240,2300
1,5120,4250
1,5350,5000
2,5820,3600
3,5400,5520
1,5810,6050
1,6050,2840
1,4250,7020
6,5160,5000
1,5000,5160
2,5240,4050
7,5000,120
1,5240,5230
2,5230,5240
2,5510,1110
12,5000,5700
7,5700,5240
1,5610,2600
1,10,9990
1,9990,1540
1,5240,4210
1,5860,7130
1,5260,1540
1,1540,1360
1,5310,3130
1,5700,120
24,5400,5700
22,5700,5400
3,5400,2540
2,2540,5700
2,5260,3650
1,5420,2150
1,2150,5420
1,5840,4230
1,5000,3130
1,5120,2020
1,5900,5810
2,5810,3600
1,5240,3320
4,5620,4030
1,5130,4300
1,5630,530
1,5810,2320
1,5600,2710
8,5240,5120
5,5120,5110
5,5240,5840
2,5120,5220
1,5220,2150
1,2150,2200
1,5120,830
1,5340,6200
4,5860,430
1,5300,5700
3,5620,5240
1,5810,1010
1,5860,230
3,5360,5700
1,5400,2100
2,5600,3650
1,5120,4700
1,5820,2020
2,2020,2150
1,5260,4960
1,5240,9810
2,5240,4810
1,5860,3410
2,5120,2010
2,5700,2000
2,2000,5700
1,5530,4220
2,5240,560
1,100,2060
3,5620,9610
2,5310,5700
1,5240,700
1,5330,720
8,5620,4700
1,5120,4850
5,5620,6420
1,6420,4430
1,4430,6420
1,5520,1040
1,1040,5330
1,5240,1710
1,5240,600
2,5110,3600
1,5560,5550
2,5110,5840
1,800,5600
1,5620,530
2,5820,2540
1,2540,5400
1,5700,350
1,5700,4810
2,5700,2550
1,5620,9350
2,9350,3600
6,5000,5240
22,5620,4720
1,560,5240
2,5310,2020
7,5700,5860
1,5860,5260
3,5260,5120
2,5700,2860
5,5700,4600
2,5520,3600
2,3600,5840
1,5810,800
5,5300,4720
11,4720,2300
2,5560,3920
1,3920,5540
3,5840,4810
14,5240,4110
3,5240,5350
1,5350,4960
1,5700,1040
2,5000,230
1,5810,5260
2,5700,2540
1,5110,520
2,5310,3600
3,5400,2140
4,5620,4940
4,4940,6230
13,5620,9620
2,5400,1960
1,1960,5100
5,5240,5160
2,5100,4920
2,5310,4030
4,4030,9620
14,9620,6420
7,5400,3650
2,5700,5120
7,5240,5000
1,5240,6230
1,5000,840
3,5300,5120
1,5120,2310
4,5100,5120
2,5240,5140
1,5620,7240
1,5310,2310
2,5120,5140
1,5520,5120
3,5000,5110
4,5700,800
2,5400,9990
2,9990,3600
3,5330,910
1,5100,5010
2,5700,5920
2,5920,5700
2,5620,7310
1,7310,8710
1,8710,6440
4,5120,5400
3,5620,5610
6,5610,9620
53,9620,6260
3,6260,7340
1,5260,5930
1,5930,830
1,830,5860
3,5400,2310
1,2310,3600
1,5800,5810
2,5240,3650
10,5700,4760
19,4760,2540
1,5150,430
1,5350,5260
1,5820,5120
2,5000,340
2,5320,2340
1,2340,5320
1,5320,2310
2,5000,2010
1,5340,540
4,5400,430
2,430,2200
1,5600,430
1,5230,830
1,5120,540
2,5350,5240
1,5120,120
3,5120,5700
2,5120,4900
4,5620,6050
3,6050,5620
1,6050,6710
5,5120,4720
21,4720,5160
1,5810,3310
1,5820,1010
2,5510,9130
1,5700,5340
3,5820,5330
2,5860,3600
1,5400,5300
1,5100,1550
3,1550,5240
3,5620,5540
1,5820,3650
1,3650,3310
2,5620,2200
1,2200,1860
1,1860,2860
1,2860,2200
1,5160,3640
1,5310,5420
1,5860,5420
1,5520,2630
2,5000,2000
2,5600,5400
2,5860,5120
1,5110,50
1,5530,2320
3,2320,2310
2,5700,4010
1,5810,5800
1,5800,1920
1,1920,1010
1,1010,1960
4,5260,5400
1,5700,4350
4,5000,4200
3,5620,5700
2,2200,5400
1,620,5120
4,5120,5620
1,5510,7200
2,5350,5610
9,5860,4720
22,4720,5860
2,5320,4220
1,4220,5320
1,5320,430
1,430,420
1,420,4850
1,4850,420
3,5330,5930
1,5400,4840
4,5110,5700
1,5020,1100
2,5400,5840
5,5840,5700
5,5700,5840
1,5260,5420
8,5400,5930
3,5700,5930
1,5420,5930
5,5120,5810
2,5540,5700
1,5610,4750
1,5350,2630
1,2630,5910
1,5620,7320
1,7320,7010
1,5820,5900
2,5900,2850
2,2850,5900
2,5860,2340
2,5700,5820
3,5820,5700
1,5360,5820
2,5260,5160
2,5400,2200
2,5240,2020
2,5860,9610
4,9610,5860
1,5860,7340
1,7340,5860
1,5300,3600
1,5520,5500
1,620,5700
3,4760,2330
2,5840,5400
2,5620,4840
5,5160,120
1,5610,540
1,2200,2540
1,5620,6530
1,6530,5620
3,5100,5000
2,5160,2310
1,5520,160
1,5540,5240
1,5520,5000
1,5120,840
2,5420,5000
1,5240,5110
1,5510,2020
1,5510,4220
2,5860,5000
1,5240,3910
1,5260,8710
3,5320,5860
3,5610,6260
2,5620,6230
2,5620,6440
1,2040,5860
1,5240,6440
1,5400,60
4,5240,430
1,5700,7200
1,5110,5240
2,5810,5120
1,5800,5120
1,5120,5300
2,5810,620
1,5160,5330
1,1110,4250
1,4250,1110
1,1110,5510
1,5510,7010
1,5310,7000
1,3240,2540
1,5000,5840
1,3500,5860
1,5320,2540
1,2540,5320
3,5320,5810
1,5810,1820
1,5810,2340
1,5240,9120
1,4220,5530
5,9620,6600
2,5110,5120
1,5260,5850
1,5850,5600
1,5600,5920
1,5120,5520
1,5620,220
1,5020,4220
1,5200,800
1,5250,5860
1,5860,5250
2,5400,5620
1,5240,2910
2,5700,5420
1,5600,1010
7,5260,4720
1,5620,5510
1,5700,2010
2,5810,5860
1,1010,1000
2,1000,1010
2,1010,1110
1,5860,3130
1,5240,6240
3,5310,5400
2,5000,5400
2,5860,5820
1,5850,4250
1,4250,5110
1,5110,4250
1,5860,7420
2,1000,2540
4,5240,120
1,5160,5860
1,5860,5160
1,5620,320
1,5610,7810
1,5530,5100
1,5610,6240
1,5700,560
1,5000,5930
3,5400,3410
2,3410,5400
1,5240,2440
1,5400,6710
1,6710,4430
1,4430,4220
1,5100,9120
5,5240,5620
1,5240,9820
1,6050,4020
1,4020,9360
1,5330,2320
1,5810,5110
1,5160,1000
1,1000,5240
1,5160,5700
1,5620,510
1,510,530
1,5100,2340
1,5100,5420
2,5820,5240
1,5400,820
2,5160,5340
1,5260,4060
1,4060,2540
6,2540,4110
7,4110,2540
2,2540,2000
2,2000,2010
1,5620,8620
7,5860,4600
1,5000,4210
1,5700,3400
1,5600,5860
2,5860,5600
2,5000,410
1,5860,3240
1,3240,2000
1,5140,8740
2,5860,5110
3,5240,4850
1,120,4760
14,4760,5810
3,3650,5260
3,5260,3600
1,5510,5000
2,5110,2140
2,5240,3640
1,3640,5240
1,5240,4960
1,5260,4430
1,4430,710
1,5150,5220
1,5240,5420
4,5700,4060
1,4060,5260
1,5410,6050
1,5510,5930
1,5000,310
1,5530,950
1,5300,3230
1,5020,540
2,5240,5610
1,5610,5700
1,5340,800
17,5400,4760
45,4760,5400
3,5000,5100
1,5840,5810
1,3600,5520
21,5240,4720
1,5000,5600
1,5350,2020
1,2150,5920
1,5920,1060
1,5000,1810
1,5700,3630
1,5820,2050
1,5700,9830
1,5510,9820
2,5110,5400
1,5700,9800
1,5400,5420
2,5400,4810
1,5800,1530
2,1530,6260
2,6260,1530
1,1530,1550
1,1550,1530
1,1530,1540
2,5410,20
1,20,560
1,5860,2330
1,5200,120
1,5120,5900
1,5820,940
1,5530,1430
2,5860,50
