weight,source,target
1,5620,7240
1,5310,2310
2,5120,5140
1,5520,5120
2,5000,5110
4,5700,800
2,5400,9990
1,9990,3600
6,5000,120
2,5800,'Unemployed'
3,5330,910
3,910,'Unemployed'
1,5100,5010
2,5700,5920
1,5920,5700
2,5620,7310
1,7310,'Student'
5,'Student',8710
2,8710,'Student'
1,8710,6440
3,5120,5400
2,5620,5610
4,5610,9620
30,9620,6260
2,6260,7340
1,5260,5930
1,5930,830
1,830,5860
1,5800,5810
2,5240,3650
157,'Student',4760
12,4760,2540
1,5150,430
1,5350,5260
2,5000,340
2,5320,2340
1,2340,5320
1,5320,2310
2,5000,2010
1,5340,540
56,'Student',5400
15,'Student',430
11,430,'Student'
1,5600,430
1,5230,830
1,5120,540
1,5530,'Student'
1,'Student',5530
2,5350,5240
1,5120,120
3,5120,5700
2,5120,4900
2,6050,5620
2,5620,6050
35,6050,'Unemployed'
1,'Student',6710
1,6710,'Student'
4,5120,4720
16,4720,5160
2,'Unemployed',3310
7,'Student',1010
8,1010,'Student'
2,5510,9130
1,5700,5340
3,5820,5330
11,5330,'Unemployed'
9,'Unemployed',5330
1,5860,3600
1,5400,5300
1,5100,1550
3,1550,5240
1,5620,5540
1,5820,3650
1,5620,2200
2,'Student',1860
2,1860,'Student'
3,'Student',2860
1,2860,'Student'
1,2860,2200
1,5310,5420
1,5860,5420
1,5520,2630
2,5600,5400
2,5860,5120
1,5110,50
1,5530,2320
2,2320,2310
1,2310,2320
2,5700,4010
1,5810,5800
5,5800,'Student'
1,'Student',1920
1,1920,1010
3,5260,5400
1,5700,4350
18,4350,'Unemployed'
4,5000,4200
3,5620,5700
2,2200,5400
4,5120,5620
1,5510,7200
1,5350,5610
7,5860,4720
14,4720,5860
2,5320,4220
1,4220,5320
8,5320,'Student'
1,430,420
1,420,4850
1,4850,420
3,5330,5930
3,5110,5700
1,5020,1100
1,5400,5840
4,5840,5700
2,5700,5840
1,5260,5420
7,5400,5930
3,5700,5930
1,5420,5930
5,5120,5810
1,5540,5700
1,5610,4750
1,2630,5910
1,5620,7320
1,7320,7010
4,'Student',5900
3,5900,'Student'
2,'Student',2850
2,2850,5900
1,5900,2850
2,5860,2340
2,5700,5820
3,5820,5700
2,5360,'Student'
1,'Student',5360
1,5360,5820
2,5260,5160
2,5400,2200
1,5240,2020
2,5860,9610
3,9610,5860
37,9610,'Student'
1,5860,7340
1,7340,5860
1,5300,3600
1,5520,5500
1,620,5700
5,'Unemployed',2140
479,4760,'Unemployed'
2,5840,5400
2,5620,4840
5,5160,120
1,5610,540
1,2200,2540
1,5620,6530
1,6530,5620
3,5100,5000
2,5160,2310
2,5340,'Unemployed'
1,5520,5000
2,'Unemployed',840
2,5420,5000
1,5240,5110
1,5510,2020
1,5510,4220
2,5860,5000
1,5240,3910
1,5260,8710
6,8710,'Unemployed'
2,5320,5860
2,5610,6260
2,5620,6440
1,2040,5860
1,5400,60
4,5240,430
1,5700,7200
2,5400,1000
1,5110,5240
2,5810,5120
1,5800,5120
1,5120,5300
2,5810,620
1,5160,5330
1,5510,1110
1,1110,4250
1,4250,1110
1,1110,5510
1,5510,7010
1,5310,7000
1,2540,3240
1,3240,2540
1,5860,3500
1,3500,5860
10,'Student',5320
1,5320,2540
1,2540,5320
23,'Student',5810
1,5810,1820
1,5240,9120
33,'Unemployed',5610
9,5610,'Student'
1,4220,5530
4,9620,6600
7,5620,4220
2,5110,5120
7,'Student',5850
1,5850,5600
6,5600,'Student'
2,'Student',5920
1,5120,5520
6,5020,'Unemployed'
1,5200,800
1,5250,5860
1,5860,5250
1,5400,5620
5,'Unemployed',2910
2,5700,5420
1,5600,1010
1,5000,2000
1,5620,5510
1,5700,2010
2,5810,5860
1,1010,1000
2,1000,1010
1,1010,1110
1,5240,6240
2,5000,5400
2,5860,5820
3,'Student',5110
1,5110,4250
1,5860,7420
2,1000,2540
4,5240,120
1,5860,5160
1,5620,320
15,'Unemployed',7810
18,7810,'Unemployed'
1,5530,5100
1,5610,6240
1,5000,5930
3,5400,3410
2,3410,5400
1,5240,2440
1,5400,6710
16,'Unemployed',4430
16,4430,'Unemployed'
1,5100,9120
1,5240,9820
1,4020,9360
2,5500,'Unemployed'
